Time,signal1,signal2,signal3
1.38,0.981854,0.189641,0.69
1.4,0.98545,0.169967,0.7
1.42,0.988652,0.150225,0.71
1.44,0.991458,0.130424,0.72
1.46,0.993868,0.11057,0.73
1.48,0.995881,0.0906716,0.74
1.5,0.997495,0.0707372,0.75
1.52,0.99871,0.0507745,0.76
1.54,0.999526,0.0307915,0.77
1.56,0.999942,0.0107961,0.78
1.58,0.999958,-0.00920354,0.79
1.6,0.999574,-0.0291995,0.8
1.62,0.99879,-0.0491838,0.81
1.64,0.997606,-0.0691484,0.82
1.66,0.996024,-0.0890854,0.83
1.68,0.994043,-0.108987,0.84
1.7,0.991665,-0.128844,0.85
1.72,0.98889,-0.148651,0.86
1.74,0.985719,-0.168397,0.87
1.76,0.982154,-0.188077,0.88
1.78,0.978197,-0.207681,0.89
1.8,0.973848,-0.227202,0.9
1.82,0.969109,-0.246632,0.91
1.84,0.963983,-0.265964,0.92
1.86,0.958471,-0.285189,0.93
1.88,0.952576,-0.3043,0.94
1.9,0.9463,-0.32329,0.95
1.92,0.939645,-0.34215,0.96
1.94,0.932615,-0.360873,0.97
1.96,0.925212,-0.379452,0.98
1.98,0.917438,-0.397879,0.99
2,0.909297,-0.416147,1
2.02,0.900793,-0.434248,1.01
2.04,0.891929,-0.452176,1.02
2.06,0.882707,-0.469923,1.03
2.08,0.873133,-0.487482,1.04
2.1,0.863209,-0.504846,1.05
2.12,0.85294,-0.522008,1.06
2.14,0.84233,-0.538961,1.07
2.16,0.831383,-0.555699,1.08
2.18,0.820104,-0.572215,1.09
2.2,0.808496,-0.588501,1.1
2.22,0.796565,-0.604552,1.11
2.24,0.784316,-0.620362,1.12
2.26,0.771753,-0.635923,1.13
2.28,0.758881,-0.65123,1.14
2.3,0.745705,-0.666276,1.15
2.32,0.732231,-0.681056,1.16
2.34,0.718465,-0.695563,1.17
2.36,0.704411,-0.709793,1.18
2.38,0.690075,-0.723738,1.19
2.4,0.675463,-0.737394,1.2
2.42,0.660581,-0.750755,1.21
2.44,0.645435,-0.763815,1.22
2.46,0.630031,-0.77657,1.23
2.48,0.614374,-0.789015,1.24
2.5,0.598472,-0.801144,1.25
2.52,0.582331,-0.812952,1.26
2.54,0.565956,-0.824435,1.27
2.56,0.549355,-0.835589,1.28
2.58,0.532535,-0.846408,1.29
2.6,0.515501,-0.856889,1.3
2.62,0.498262,-0.867027,1.31
2.64,0.480823,-0.876818,1.32
2.66,0.463191,-0.886258,1.33
2.68,0.445375,-0.895344,1.34
2.7,0.42738,-0.904072,1.35
2.72,0.409214,-0.912438,1.36
2.74,0.390885,-0.92044,1.37
2.76,0.372399,-0.928073,1.38
2.78,0.353764,-0.935335,1.39
2.8,0.334988,-0.942222,1.4
2.82,0.316078,-0.948733,1.41
2.84,0.297041,-0.954865,1.42
2.86,0.277886,-0.960614,1.43
2.88,0.258619,-0.965979,1.44
2.9,0.239249,-0.970958,1.45
2.92,0.219784,-0.975549,1.46
2.94,0.20023,-0.979749,1.47
2.96,0.180596,-0.983557,1.48
2.98,0.16089,-0.986972,1.49
3,0.14112,-0.989992,1.5
3.02,0.121293,-0.992617,1.51
3.04,0.101418,-0.994844,1.52
3.06,0.0815022,-0.996673,1.53
3.08,0.0615537,-0.998104,1.54
3.1,0.0415807,-0.999135,1.55
3.12,0.021591,-0.999767,1.56
3.14,0.00159265,-0.999999,1.57
3.16,-0.0184063,-0.999831,1.58
3.18,-0.0383979,-0.999263,1.59
3.2,-0.0583741,-0.998295,1.6
3.22,-0.078327,-0.996928,1.61
3.24,-0.0982486,-0.995162,1.62
3.26,-0.118131,-0.992998,1.63
3.28,-0.137966,-0.990437,1.64
3.3,-0.157746,-0.98748,1.65
3.32,-0.177462,-0.984128,1.66
3.34,-0.197108,-0.980382,1.67
3.36,-0.216675,-0.976244,1.68
3.38,-0.236155,-0.971715,1.69
3.4,-0.255541,-0.966798,1.7
3.42,-0.274825,-0.961494,1.71
3.44,-0.293998,-0.955806,1.72
3.46,-0.313054,-0.949735,1.73
3.48,-0.331985,-0.943285,1.74
3.5,-0.350783,-0.936457,1.75
3.52,-0.369441,-0.929254,1.76
3.54,-0.387951,-0.92168,1.77
3.56,-0.406306,-0.913737,1.78
3.58,-0.424498,-0.905429,1.79
3.6,-0.44252,-0.896758,1.8
3.62,-0.460366,-0.887729,1.81
3.64,-0.478027,-0.878345,1.82
3.66,-0.495497,-0.868609,1.83
3.68,-0.512769,-0.858526,1.84
3.7,-0.529836,-0.8481,1.85
3.72,-0.546691,-0.837334,1.86
3.74,-0.563327,-0.826234,1.87
3.76,-0.579738,-0.814803,1.88
3.78,-0.595917,-0.803046,1.89
3.8,-0.611858,-0.790968,1.9
3.82,-0.627554,-0.778573,1.91
3.84,-0.642999,-0.765867,1.92
3.86,-0.658186,-0.752855,1.93
3.88,-0.673111,-0.739542,1.94
3.9,-0.687766,-0.725932,1.95
3.92,-0.702146,-0.712033,1.96
3.94,-0.716246,-0.697848,1.97
3.96,-0.730058,-0.683385,1.98
3.98,-0.743579,-0.668648,1.99
4,-0.756802,-0.653644,2
4.02,-0.769723,-0.638378,2.01
4.04,-0.782336,-0.622857,2.02
4.06,-0.794636,-0.607087,2.03
4.08,-0.806618,-0.591073,2.04
4.1,-0.818277,-0.574824,2.05
4.12,-0.829609,-0.558345,2.06
4.14,-0.840609,-0.541642,2.07
4.16,-0.851273,-0.524722,2.08
4.18,-0.861597,-0.507593,2.09
4.2,-0.871576,-0.490261,2.1
4.22,-0.881206,-0.472732,2.11
4.24,-0.890484,-0.455015,2.12
4.26,-0.899405,-0.437115,2.13
4.28,-0.907967,-0.419041,2.14
4.3,-0.916166,-0.400799,2.15
4.32,-0.923998,-0.382397,2.16
4.34,-0.931461,-0.363842,2.17
4.36,-0.938551,-0.345141,2.18
4.38,-0.945266,-0.326302,2.19
4.4,-0.951602,-0.307333,2.2
4.42,-0.957558,-0.288241,2.21
4.44,-0.963131,-0.269033,2.22
4.46,-0.968319,-0.249718,2.23
4.48,-0.973119,-0.230303,2.24
4.5,-0.97753,-0.210796,2.25
4.52,-0.98155,-0.191204,2.26
4.54,-0.985178,-0.171536,2.27
4.56,-0.988411,-0.1518,2.28
4.58,-0.991249,-0.132003,2.29
4.6,-0.993691,-0.112153,2.3
4.62,-0.995735,-0.0922576,2.31
4.64,-0.997381,-0.0723258,2.32
4.66,-0.998628,-0.052365,2.33
4.68,-0.999476,-0.0323833,2.34
4.7,-0.999923,-0.0123887,2.35
4.72,-0.999971,0.00761095,2.36
4.74,-0.999619,0.0276075,2.37
4.76,-0.998867,0.047593,2.38
4.78,-0.997715,0.0675595,2.39
4.8,-0.996165,0.087499,2.4
4.82,-0.994216,0.107403,2.41
4.84,-0.991869,0.127265,2.42
4.86,-0.989125,0.147076,2.43
4.88,-0.985986,0.166827,2.44
4.9,-0.982453,0.186512,2.45
4.92,-0.978526,0.206123,2.46
4.94,-0.974208,0.225651,2.47
4.96,-0.969501,0.245089,2.48
4.98,-0.964405,0.264428,2.49
5,-0.958924,0.283662,2.5
5.02,-0.95306,0.302783,2.51
5.04,-0.946814,0.321782,2.52
5.06,-0.940189,0.340653,2.53
5.08,-0.933189,0.359387,2.54
5.1,-0.925815,0.377978,2.55
5.12,-0.91807,0.396417,2.56
5.14,-0.909959,0.414698,2.57
5.16,-0.901484,0.432813,2.58
5.18,-0.892648,0.450755,2.59
5.2,-0.883455,0.468517,2.6
5.22,-0.873908,0.486091,2.61
5.24,-0.864012,0.503471,2.62
5.26,-0.853771,0.520649,2.63
5.28,-0.843188,0.537619,2.64
5.3,-0.832267,0.554374,2.65
5.32,-0.821014,0.570908,2.66
5.34,-0.809433,0.587213,2.67
5.36,-0.797527,0.603283,2.68
5.38,-0.785303,0.619112,2.69
5.4,-0.772764,0.634693,2.7
5.42,-0.759917,0.65002,2.71
5.44,-0.746765,0.665088,2.72
5.46,-0.733315,0.679889,2.73
5.48,-0.719572,0.694418,2.74
5.5,-0.70554,0.70867,2.75
5.52,-0.691227,0.722638,2.76
5.54,-0.676637,0.736317,2.77
5.56,-0.661776,0.749702,2.78
5.58,-0.646651,0.762786,2.79
5.6,-0.631267,0.775566,2.8
5.62,-0.61563,0.788035,2.81
5.64,-0.599747,0.800189,2.82
5.66,-0.583625,0.812024,2.83
5.68,-0.567269,0.823533,2.84
5.7,-0.550686,0.834713,2.85
5.72,-0.533882,0.845559,2.86
5.74,-0.516865,0.856067,2.87
5.76,-0.499642,0.866232,2.88
5.78,-0.482218,0.876051,2.89
5.8,-0.464602,0.88552,2.9
5.82,-0.4468,0.894634,2.91
5.84,-0.428819,0.90339,2.92
5.86,-0.410667,0.911785,2.93
5.88,-0.39235,0.919816,2.94
5.9,-0.373877,0.927478,2.95
5.92,-0.355254,0.93477,2.96
5.94,-0.336488,0.941688,2.97
5.96,-0.317589,0.948229,2.98
5.98,-0.298562,0.95439,2.99
6,-0.279415,0.96017,3
6.02,-0.260157,0.965566,3.01
6.04,-0.240795,0.970576,3.02
6.06,-0.221337,0.975197,3.03
6.08,-0.20179,0.979429,3.04
6.1,-0.182163,0.983268,3.05
6.12,-0.162462,0.986715,3.06
6.14,-0.142697,0.989766,3.07
6.16,-0.122874,0.992422,3.08
6.18,-0.103002,0.994681,3.09
6.2,-0.0830894,0.996542,3.1
6.22,-0.0631433,0.998004,3.11
6.24,-0.0431719,0.999068,3.12
6.26,-0.0231832,0.999731,3.13
6.28,-0.0031853,0.999995,3.14
6.3,0.0168139,0.999859,3.15
6.32,0.0368064,0.999322,3.16
6.34,0.0567841,0.998386,3.17
6.36,0.0767392,0.997051,3.18
6.38,0.0966635,0.995317,3.19
6.4,0.116549,0.993185,3.2
6.42,0.136388,0.990655,3.21
6.44,0.156173,0.98773,3.22
6.46,0.175895,0.984409,3.23
6.48,0.195547,0.980694,3.24
6.5,0.21512,0.976588,3.25
6.52,0.234607,0.97209,3.26
6.54,0.254001,0.967204,3.27
6.56,0.273293,0.961931,3.28
6.58,0.292476,0.956273,3.29
6.6,0.311541,0.950233,3.3
6.62,0.330482,0.943812,3.31
6.64,0.349291,0.937014,3.32
6.66,0.367961,0.929841,3.33
6.68,0.386483,0.922297,3.34
6.7,0.40485,0.914383,3.35
6.72,0.423055,0.906104,3.36
6.74,0.441092,0.897462,3.37
6.76,0.458951,0.888461,3.38
6.78,0.476628,0.879105,3.39
6.8,0.494113,0.869397,3.4
6.82,0.511401,0.859342,3.41
6.84,0.528485,0.848943,3.42
6.86,0.545357,0.838204,3.43
6.88,0.562011,0.82713,3.44
6.9,0.57844,0.815725,3.45
6.92,0.594637,0.803994,3.46
6.94,0.610597,0.791941,3.47
6.96,0.626313,0.779572,3.48
6.98,0.641778,0.76689,3.49
7,0.656987,0.753902,3.5
7.02,0.671932,0.740613,3.51
7.04,0.686609,0.727027,3.52
7.06,0.701011,0.71315,3.53
7.08,0.715133,0.698988,3.54
7.1,0.728969,0.684547,3.55
7.12,0.742513,0.669831,3.56
7.14,0.755761,0.654848,3.57
7.16,0.768705,0.639603,3.58
7.18,0.781343,0.624102,3.59
7.2,0.793668,0.608351,3.6
7.22,0.805675,0.592357,3.61
7.24,0.817361,0.576126,3.62
7.26,0.828719,0.559665,3.63
7.28,0.839746,0.54298,3.64
7.3,0.850437,0.526078,3.65
7.32,0.860787,0.508965,3.66
7.34,0.870794,0.491648,3.67
7.36,0.880452,0.474135,3.68
7.38,0.889758,0.456433,3.69
7.4,0.898708,0.438547,3.7
7.42,0.907299,0.420487,3.71
7.44,0.915526,0.402258,3.72
7.46,0.923388,0.383868,3.73
7.48,0.93088,0.365325,3.74
7.5,0.938,0.346635,3.75
7.52,0.944745,0.327807,3.76
7.54,0.951111,0.308848,3.77
7.56,0.957098,0.289765,3.78
7.58,0.962701,0.270567,3.79
7.6,0.96792,0.25126,3.8
7.62,0.972751,0.231852,3.81
7.64,0.977193,0.212352,3.82
7.66,0.981244,0.192767,3.83
7.68,0.984903,0.173105,3.84
7.7,0.988168,0.153374,3.85
7.72,0.991038,0.133581,3.86
7.74,0.993511,0.113735,3.87
7.76,0.995587,0.0938433,3.88
7.78,0.997265,0.0739142,3.89
7.8,0.998543,0.0539554,3.9
7.82,0.999423,0.0339751,3.91
7.84,0.999902,0.0139812,3.92
7.86,0.999982,-0.00601833,3.93
7.88,0.999662,-0.0260154,3.94
7.9,0.998941,-0.0460021,3.95
7.92,0.997822,-0.0659704,3.96
7.94,0.996303,-0.0859123,3.97
7.96,0.994385,-0.10582,3.98
7.98,0.99207,-0.125685,3.99
8,0.989358,-0.1455,4
8.02,0.986251,-0.165257,4.01
8.04,0.982748,-0.184947,4.02
8.06,0.978853,-0.204564,4.03
8.08,0.974566,-0.224099,4.04
8.1,0.96989,-0.243544,4.05
8.12,0.964825,-0.262892,4.06
8.14,0.959375,-0.282135,4.07
8.16,0.953541,-0.301264,4.08
8.18,0.947325,-0.320274,4.09
8.2,0.940731,-0.339155,4.1
8.22,0.93376,-0.3579,4.11
8.24,0.926415,-0.376503,4.12
8.26,0.918701,-0.394955,4.13
8.28,0.910618,-0.413248,4.14
8.3,0.902172,-0.431377,4.15
8.32,0.893364,-0.449333,4.16
8.34,0.8842,-0.467109,4.17
8.36,0.874681,-0.484698,4.18
8.38,0.864813,-0.502094,4.19
8.4,0.854599,-0.519289,4.2
8.42,0.844043,-0.536276,4.21
8.44,0.833149,-0.553048,4.22
8.46,0.821922,-0.569599,4.23
8.48,0.810367,-0.585923,4.24
8.5,0.798487,-0.602012,4.25
8.52,0.786288,-0.61786,4.26
8.54,0.773774,-0.633461,4.27
8.56,0.760951,-0.648809,4.28
8.58,0.747824,-0.663897,4.29
8.6,0.734397,-0.67872,4.3
8.62,0.720677,-0.693271,4.31
8.64,0.706668,-0.707545,4.32
8.66,0.692377,-0.721536,4.33
8.68,0.677809,-0.735238,4.34
8.7,0.662969,-0.748647,4.35
8.72,0.647865,-0.761755,4.36
8.74,0.632501,-0.77456,4.37
8.76,0.616884,-0.787054,4.38
8.78,0.601021,-0.799233,4.39
8.8,0.584917,-0.811093,4.4
8.82,0.568579,-0.822628,4.41
8.84,0.552014,-0.833835,4.42
8.86,0.535228,-0.844707,4.43
8.88,0.518228,-0.855242,4.44
8.9,0.501021,-0.865435,4.45
8.92,0.483613,-0.875282,4.46
8.94,0.466012,-0.884778,4.47
8.96,0.448224,-0.893921,4.48
8.98,0.430257,-0.902706,4.49
9,0.412118,-0.91113,4.5
9.02,0.393815,-0.91919,4.51
9.04,0.375353,-0.926882,4.52
9.06,0.356742,-0.934203,4.53
9.08,0.337988,-0.941151,4.54
9.1,0.319098,-0.947722,4.55
9.12,0.300081,-0.953914,4.56
9.14,0.280944,-0.959724,4.57
9.16,0.261695,-0.965151,4.58
9.18,0.242341,-0.970191,4.59
9.2,0.22289,-0.974844,4.6
9.22,0.20335,-0.979106,4.61
9.24,0.183728,-0.982977,4.62
9.26,0.164033,-0.986455,4.63
9.28,0.144273,-0.989538,4.64
9.3,0.124454,-0.992225,4.65
9.32,0.104586,-0.994516,4.66
9.34,0.0846764,-0.996409,4.67
9.36,0.0647327,-0.997903,4.68
9.38,0.044763,-0.998998,4.69
9.4,0.0247754,-0.999693,4.7
9.42,0.00477794,-0.999989,4.71
9.44,-0.0152215,-0.999884,4.72
9.46,-0.0352148,-0.99938,4.73
9.48,-0.055194,-0.998476,4.74
9.5,-0.0751511,-0.997172,4.75
9.52,-0.0950782,-0.99547,4.76
9.54,-0.114967,-0.993369,4.77
9.56,-0.13481,-0.990871,4.78
9.58,-0.154599,-0.987977,4.79
9.6,-0.174327,-0.984688,4.8
9.62,-0.193984,-0.981005,4.81
9.64,-0.213564,-0.976929,4.82
9.66,-0.233059,-0.972463,4.83
9.68,-0.25246,-0.967607,4.84
9.7,-0.271761,-0.962365,4.85
9.72,-0.290952,-0.956738,4.86
9.74,-0.310028,-0.950728,4.87
9.76,-0.328979,-0.944337,4.88
9.78,-0.347799,-0.937569,4.89
9.8,-0.366479,-0.930426,4.9
9.82,-0.385013,-0.922911,4.91
9.84,-0.403393,-0.915027,4.92
9.86,-0.421612,-0.906776,4.93
9.88,-0.439662,-0.898163,4.94
9.9,-0.457536,-0.889191,4.95
9.92,-0.475227,-0.879863,4.96
9.94,-0.492728,-0.870183,4.97
9.96,-0.510032,-0.860155,4.98
9.98,-0.527132,-0.849783,4.99
10,-0.544021,-0.839072,5
10.02,-0.560693,-0.828024,5.01
10.04,-0.57714,-0.816645,5.02
10.06,-0.593356,-0.80494,5.03
10.08,-0.609335,-0.792913,5.04
10.1,-0.625071,-0.780568,5.05
10.12,-0.640556,-0.767911,5.06
10.14,-0.655785,-0.754948,5.07
10.16,-0.670752,-0.741682,5.08
10.18,-0.68545,-0.728119,5.09
10.2,-0.699875,-0.714266,5.1
10.22,-0.714019,-0.700126,5.11
10.24,-0.727878,-0.685707,5.12
10.26,-0.741446,-0.671013,5.13
10.28,-0.754717,-0.656051,5.14
10.3,-0.767686,-0.640826,5.15
10.32,-0.780348,-0.625346,5.16
10.34,-0.792698,-0.609615,5.17
10.36,-0.804731,-0.59364,5.18
10.38,-0.816442,-0.577427,5.19
10.4,-0.827826,-0.560984,5.2
10.42,-0.83888,-0.544317,5.21
10.44,-0.849598,-0.527431,5.22
10.46,-0.859976,-0.510335,5.23
10.48,-0.87001,-0.493035,5.24
10.5,-0.879696,-0.475537,5.25
10.52,-0.88903,-0.457849,5.26
10.54,-0.898009,-0.439978,5.27
10.56,-0.906628,-0.421931,5.28
10.58,-0.914885,-0.403715,5.29
10.6,-0.922775,-0.385338,5.3
10.62,-0.930297,-0.366807,5.31
10.64,-0.937447,-0.348129,5.32
10.66,-0.944221,-0.329311,5.33
10.68,-0.950618,-0.310362,5.34
10.7,-0.956635,-0.291289,5.35
10.72,-0.962269,-0.2721,5.36
10.74,-0.967518,-0.252801,5.37
10.76,-0.97238,-0.233401,5.38
10.78,-0.976854,-0.213908,5.39
10.8,-0.980936,-0.19433,5.4
10.82,-0.984626,-0.174674,5.41
10.84,-0.987923,-0.154947,5.42
10.86,-0.990824,-0.135159,5.43
10.88,-0.993329,-0.115317,5.44
10.9,-0.995436,-0.0954289,5.45
10.92,-0.997146,-0.0755024,5.46
10.94,-0.998456,-0.0555457,5.47
10.96,-0.999367,-0.0355668,5.48
10.98,-0.999879,-0.0155737,5.49
11,-0.99999,0.0044257,5.5
11.02,-0.999702,0.0244233,5.51
11.04,-0.999013,0.0444111,5.52
11.06,-0.997925,0.0643812,5.53
11.08,-0.996438,0.0843255,5.54
11.1,-0.994553,0.104236,5.55
11.12,-0.992269,0.124105,5.56
11.14,-0.989589,0.143924,5.57
11.16,-0.986513,0.163686,5.58
11.18,-0.983042,0.183382,5.59
11.2,-0.979178,0.203005,5.6
11.22,-0.974922,0.222547,5.61
11.24,-0.970276,0.241999,5.62
11.26,-0.965243,0.261355,5.63
11.28,-0.959823,0.280606,5.64
11.3,-0.954019,0.299745,5.65
11.32,-0.947834,0.318765,5.66
11.34,-0.94127,0.337656,5.67
11.36,-0.934329,0.356413,5.68
11.38,-0.927014,0.375027,5.69
11.4,-0.919329,0.393491,5.7
11.42,-0.911275,0.411798,5.71
11.44,-0.902858,0.429939,5.72
11.46,-0.894079,0.447909,5.73
11.48,-0.884943,0.4657,5.74
11.5,-0.875452,0.483305,5.75
11.52,-0.865612,0.500716,5.76
11.54,-0.855425,0.517927,5.77
11.56,-0.844896,0.534931,5.78
11.58,-0.834029,0.551721,5.79
11.6,-0.822829,0.56829,5.8
11.62,-0.811299,0.584631,5.81
11.64,-0.799445,0.600739,5.82
11.66,-0.787271,0.616607,5.83
11.68,-0.774782,0.632228,5.84
11.7,-0.761984,0.647596,5.85
11.72,-0.74888,0.662705,5.86
11.74,-0.735477,0.67755,5.87
11.76,-0.72178,0.692123,5.88
11.78,-0.707794,0.706419,5.89
11.8,-0.693525,0.720432,5.9
11.82,-0.678979,0.734158,5.91
11.84,-0.664161,0.74759,5.92
11.86,-0.649077,0.760723,5.93
11.88,-0.633734,0.773551,5.94
11.9,-0.618137,0.78607,5.95
11.92,-0.602293,0.798275,5.96
11.94,-0.586208,0.81016,5.97
11.96,-0.569889,0.821722,5.98
11.98,-0.553342,0.832954,5.99
12,-0.536573,0.843854,6
12.02,-0.51959,0.854416,6.01
12.04,-0.502399,0.864636,6.02
12.06,-0.485007,0.874511,6.03
12.08,-0.46742,0.884035,6.04
12.1,-0.449647,0.893206,6.05
12.12,-0.431695,0.90202,6.06
12.14,-0.413569,0.910473,6.07
12.16,-0.395278,0.918561,6.08
12.18,-0.376829,0.926283,6.09
12.2,-0.358229,0.933634,6.1
12.22,-0.339486,0.940611,6.11
12.24,-0.320607,0.947212,6.12
12.26,-0.3016,0.953434,6.13
12.28,-0.282473,0.959275,6.14
12.3,-0.263232,0.964733,6.15
12.32,-0.243886,0.969804,6.16
12.34,-0.224442,0.974487,6.17
12.36,-0.204909,0.978781,6.18
12.38,-0.185294,0.982683,6.19
12.4,-0.165604,0.986192,6.2
12.42,-0.145849,0.989307,6.21
12.44,-0.126035,0.992026,6.22
12.46,-0.10617,0.994348,6.23
12.48,-0.0862633,0.996272,6.24
12.5,-0.0663219,0.997798,6.25
12.52,-0.046354,0.998925,6.26
12.54,-0.0263676,0.999652,6.27
12.56,-0.00637057,0.99998,6.28
12.58,0.013629,0.999907,6.29
12.6,0.033623,0.999435,6.3
12.62,0.0536037,0.998562,6.31
12.64,0.0735629,0.997291,6.32
12.66,0.0934926,0.99562,6.33
12.68,0.113385,0.993551,6.34
12.7,0.133232,0.991085,6.35
12.72,0.153026,0.988222,6.36
12.74,0.172758,0.984964,6.37
12.76,0.192422,0.981312,6.38
12.78,0.212008,0.977268,6.39
12.8,0.23151,0.972833,6.4
12.82,0.250919,0.968008,6.41
12.84,0.270228,0.962796,6.42
12.86,0.289428,0.9572,6.43
12.88,0.308513,0.95122,6.44
12.9,0.327474,0.94486,6.45
12.92,0.346305,0.938122,6.46
12.94,0.364997,0.931009,6.47
12.96,0.383543,0.923523,6.48
12.98,0.401935,0.915668,6.49
13,0.420167,0.907447,6.5
13.02,0.438231,0.898863,6.51
13.04,0.456119,0.889919,6.52
13.06,0.473825,0.880619,6.53
13.08,0.491342,0.870967,6.54
13.1,0.508661,0.860967,6.55
13.12,0.525778,0.850622,6.56
13.14,0.542684,0.839937,6.57
13.16,0.559373,0.828916,6.58
13.18,0.575838,0.817563,6.59
13.2,0.592074,0.805884,6.6
13.22,0.608072,0.793882,6.61
13.24,0.623827,0.781563,6.62
13.26,0.639332,0.768931,6.63
13.28,0.654582,0.755991,6.64
13.3,0.66957,0.742749,6.65
13.32,0.68429,0.72921,6.66
13.34,0.698736,0.715379,6.67
13.36,0.712903,0.701263,6.68
13.38,0.726785,0.686865,6.69
13.4,0.740376,0.672193,6.7
13.42,0.753671,0.657252,6.71
13.44,0.766664,0.642048,6.72
13.46,0.779351,0.626588,6.73
13.48,0.791726,0.610876,6.74
13.5,0.803784,0.594921,6.75
13.52,0.815521,0.578727,6.76
13.54,0.826932,0.562302,6.77
13.56,0.838012,0.545652,6.78
13.58,0.848757,0.528784,6.79
13.6,0.859162,0.511704,6.8
13.62,0.869223,0.49442,6.81
13.64,0.878937,0.476937,6.82
13.66,0.8883,0.459264,6.83
13.68,0.897307,0.441408,6.84
13.7,0.905955,0.423375,6.85
13.72,0.91424,0.405172,6.86
13.74,0.922161,0.386807,6.87
13.76,0.929712,0.368288,6.88
13.78,0.936891,0.349621,6.89
13.8,0.943696,0.330815,6.9
13.82,0.950123,0.311876,6.91
13.84,0.95617,0.292812,6.92
13.86,0.961835,0.273632,6.93
13.88,0.967114,0.254342,6.94
13.9,0.972008,0.23495,6.95
13.92,0.976512,0.215464,6.96
13.94,0.980625,0.195892,6.97
13.96,0.984347,0.176242,6.98
13.98,0.987675,0.156521,6.99
14,0.990607,0.136737,7
14.02,0.993144,0.116899,7.01
14.04,0.995283,0.0970141,7.02
14.06,0.997024,0.0770904,7.03
14.08,0.998366,0.0571358,7.04
14.1,0.999309,0.0371584,7.05
14.12,0.999853,0.0171661,7.06
14.14,0.999996,-0.00283306,7.07
14.16,0.999739,-0.0228311,7.08
14.18,0.999083,-0.04282,7.09
14.2,0.998027,-0.0627917,7.1
14.22,0.996571,-0.0827384,7.11
14.24,0.994717,-0.102652,7.12
14.26,0.992466,-0.122524,7.13
14.28,0.989817,-0.142348,7.14
14.3,0.986772,-0.162114,7.15
14.32,0.983333,-0.181816,7.16
14.34,0.9795,-0.201445,7.17
14.36,0.975275,-0.220994,7.18
14.38,0.970661,-0.240454,7.19
14.4,0.965658,-0.259817,7.2
14.42,0.960269,-0.279077,7.21
14.44,0.954495,-0.298226,7.22
14.46,0.94834,-0.317255,7.23
14.48,0.941806,-0.336157,7.24
14.5,0.934895,-0.354924,7.25
14.52,0.92761,-0.37355,7.26
14.54,0.919954,-0.392026,7.27
14.56,0.91193,-0.410346,7.28
14.58,0.903541,-0.428501,7.29
14.6,0.894791,-0.446485,7.3
14.62,0.885683,-0.46429,7.31
14.64,0.876221,-0.48191,7.32
14.66,0.866408,-0.499337,7.33
14.68,0.856249,-0.516564,7.34
14.7,0.845747,-0.533584,7.35
14.72,0.834907,-0.550391,7.36
